,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,#Tasks before failure
0,0.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,2.0,2
1,1.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,2.0,2
2,2.0,298.0,98.0,49.0,499.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,3.0,2
3,3.0,298.0,98.0,50.0,498.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,3.0,2
4,4.0,298.0,98.0,51.0,497.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
5,5.0,298.0,98.0,53.0,495.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
6,6.0,297.0,97.0,53.0,494.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
7,7.0,297.0,97.0,54.0,493.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
8,8.0,296.0,96.0,56.0,490.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,5.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,5.0,2
9,9.0,296.0,96.0,58.0,488.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,5.0,2
10,10.0,296.0,96.0,60.0,486.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
11,11.0,296.0,96.0,64.0,482.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,6.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
12,12.0,295.0,95.0,65.0,480.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,6.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
13,13.0,295.0,95.0,67.0,478.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,6.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
14,14.0,294.0,94.0,71.0,473.0,0.0,5.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,7.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,1.0,7.0,2
15,15.0,294.0,94.0,74.0,470.0,0.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,7.0,0.0,0.878,0.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,1.0,7.0,2
