,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,#Tasks before failure
0,0.0,299.0,98.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2
1,1.0,299.0,98.0,50.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2
2,2.0,298.0,96.0,51.0,499.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2
3,3.0,298.0,96.0,52.0,498.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2
4,4.0,298.0,96.0,53.0,497.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2
5,5.0,298.0,96.0,55.0,495.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2
6,6.0,297.0,94.0,56.0,494.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2
7,7.0,297.0,94.0,57.0,493.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2
8,8.0,296.0,92.0,60.0,490.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2
9,9.0,296.0,92.0,62.0,488.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2
10,10.0,296.0,92.0,64.0,486.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2
11,11.0,296.0,92.0,68.0,482.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2
12,12.0,295.0,90.0,70.0,480.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2
13,13.0,295.0,90.0,72.0,478.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,0.0,0.943,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2
