,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,#Tasks before failure
0,0.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,2.0,2
1,1.0,299.0,99.0,49.0,500.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,2.0,2
2,2.0,297.0,96.0,49.0,499.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,3.0,2
3,3.0,297.0,96.0,50.0,498.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,3.0,2
4,4.0,297.0,96.0,50.0,498.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,3.0,2
5,5.0,297.0,96.0,51.0,497.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,3.0,2
6,6.0,297.0,97.0,52.0,495.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
7,7.0,297.0,97.0,53.0,494.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
8,8.0,297.0,98.0,53.0,493.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
9,9.0,297.0,98.0,55.0,491.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
10,10.0,296.0,96.0,56.0,490.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
11,11.0,296.0,96.0,57.0,489.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,2
12,12.0,294.0,93.0,59.0,486.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,5.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,5.0,2
13,13.0,294.0,93.0,61.0,484.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,5.0,2
14,14.0,294.0,94.0,61.0,483.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,5.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,5.0,2
15,15.0,294.0,94.0,64.0,480.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,5.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,5.0,2
16,16.0,294.0,94.0,67.0,477.0,0.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
17,17.0,294.0,94.0,69.0,475.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
18,18.0,294.0,95.0,71.0,472.0,0.0,4.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,6.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
19,19.0,294.0,95.0,74.0,469.0,0.0,4.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,6.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
20,20.0,293.0,94.0,75.0,467.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,6.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
21,21.0,293.0,94.0,78.0,464.0,0.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,6.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,1.0,6.0,2
22,22.0,291.0,90.0,82.0,460.0,0.0,5.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,7.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,1.0,7.0,2
23,23.0,291.0,90.0,85.0,457.0,0.0,5.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,7.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,1.0,7.0,2
24,24.0,291.0,91.0,87.0,454.0,0.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,7.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,1.0,7.0,2
25,25.0,291.0,91.0,91.0,450.0,0.0,5.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,7.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,1.0,7.0,2
26,26.0,291.0,92.0,94.0,446.0,0.0,6.0,1.0,1.0,0.0,1.0,4.0,0.0,3.0,8.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,1.0,8.0,2
27,27.0,291.0,92.0,98.0,442.0,0.0,6.0,1.0,1.0,0.0,1.0,4.0,0.0,3.0,8.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,1.0,8.0,2
28,28.0,291.0,92.0,102.0,438.0,0.0,6.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,8.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,1.0,8.0,2
29,29.0,291.0,92.0,106.0,434.0,0.0,6.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,8.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,1.0,8.0,2
30,30.0,290.0,91.0,109.0,430.0,0.0,6.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,8.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,1.0,8.0,2
31,31.0,290.0,91.0,113.0,426.0,0.0,6.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,8.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,1.0,8.0,2
32,32.0,288.0,88.0,117.0,421.0,0.0,7.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,9.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,1.0,9.0,2
33,33.0,288.0,88.0,122.0,416.0,0.0,7.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,9.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,1.0,9.0,2
34,34.0,288.0,88.0,126.0,412.0,0.0,7.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0,9.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,1.0,9.0,2
35,35.0,288.0,88.0,131.0,407.0,0.0,7.0,1.0,1.0,1.0,0.0,5.0,0.0,3.0,9.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,1.0,9.0,2
36,36.0,288.0,89.0,136.0,401.0,0.0,8.0,1.0,1.0,0.0,1.0,6.0,0.0,3.0,10.0,0.0,0.877,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1.0,10.0,2
