,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss,#Tasks before failure
0,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.79,0.79,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.21669313820151967,1.0,1.0,114.0,4042.0824718905274,0.10166842663373013,8.0,0.9980247315812644,0
1,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.809,0.809,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.21093313820151968,1.0,1.0,114.0,13.770772696161348,0.1530085855129038,4.0,0.7749113069875663,0
2,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.747,0.747,0.0,0.0,0.0,0.0,50.0,198.0,0.0,0.0,0.22557108691946842,1.0,1.0,114.0,403133.02856652683,0.061647283800806835,14.0,0.9999652732154575,0
3,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.817,0.817,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.21125313820151967,1.0,1.0,114.0,3190.2281544695848,0.1328492927251649,5.0,0.9984351665176067,0
4,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.742,0.742,0.0,0.0,0.0,0.0,50.0,198.0,0.0,0.0,0.22601553136391284,1.0,1.0,114.0,37268.027576850276,0.06697004429069427,13.0,0.9996512971652082,0
5,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.739,0.739,0.0,0.0,0.0,0.0,48.0,198.0,0.0,0.0,0.22054544589382738,1.0,1.0,114.0,160.30013580708106,0.08971515317372952,9.0,0.9468399717631911,0
6,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.805,0.805,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.2154131382015197,1.0,1.0,114.0,472.0820449686316,0.11032900356505146,7.0,0.9853887239701118,0
7,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.78,0.78,0.0,0.0,0.0,0.0,48.0,198.0,0.0,0.0,0.2177762151245966,1.0,1.0,114.0,2891.925137858673,0.08849118585263095,9.0,0.9968975414489174,0
8,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.743,0.743,0.0,0.0,0.0,0.0,51.0,198.0,0.0,0.0,0.23164516099354251,1.0,1.0,114.0,341016.0817759838,0.055297062847437316,17.0,0.9999501514635721,0
9,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.765,0.765,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.2134931382015197,1.0,1.0,114.0,14822.817926893198,0.10904839832981082,7.0,0.9995279780214088,0
10,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.824,0.824,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.2106131382015197,1.0,1.0,114.0,2820.6791325466484,0.14890462992327713,4.0,0.9985839099549711,0
11,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.826,0.826,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.2122131382015197,1.0,1.0,114.0,12.024542796028227,0.17458501337246066,3.0,0.8003267027338058,0
12,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.785,0.785,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.21493313820151969,1.0,1.0,114.0,1023.2023512395858,0.11207866592277978,7.0,0.9932052183810518,0
13,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.742,0.742,0.0,0.0,0.0,0.0,49.0,198.0,0.0,0.0,0.2226992920476735,1.0,1.0,114.0,16992.59068336817,0.06893923755847887,13.0,0.9992355455189972,0
14,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.806,0.806,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.21477313820151972,1.0,1.0,114.0,1144597.5236516064,0.09004735985695987,9.0,0.9999921370359036,0
15,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.829,0.829,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.21237313820151968,1.0,1.0,114.0,621.8707159147106,0.13178018985266168,5.0,0.9920238737062328,0
16,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.726,0.726,0.0,0.0,0.0,0.0,51.0,198.0,0.0,0.0,0.22927479062317213,1.0,1.0,114.0,30929.846072733984,0.0589224773562326,15.0,0.9995152666145198,0
17,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.822,0.822,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.21093313820151968,1.0,1.0,114.0,72.23693985183381,0.1737300140736744,3.0,0.9601259699569389,0
18,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.826,0.826,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.21157313820151966,1.0,1.0,114.0,20.63395384308812,0.15098475326507355,4.0,0.8376224935112341,0
19,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.772,0.772,0.0,0.0,0.0,0.0,48.0,198.0,0.0,0.0,0.2174685228169043,1.0,1.0,114.0,725247.6858893151,0.0809398299670605,10.0,0.9999862117972762,0
20,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.743,0.743,0.0,0.0,0.0,0.0,49.0,198.0,0.0,0.0,0.22300698435536584,1.0,1.0,114.0,1391.75094073573,0.07665383075907212,11.0,0.9921582658185704,0
21,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.732,0.732,0.0,0.0,0.0,0.0,51.0,198.0,0.0,0.0,0.2280896054379869,1.0,1.0,114.0,14087.824185245387,0.05981830653939659,15.0,0.9989363832518247,0
22,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.804,0.804,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.2110931382015197,1.0,1.0,114.0,28.79401881942641,0.14307586991019333,5.0,0.8520448240643765,0
23,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.784,0.784,0.0,0.0,0.0,0.0,48.0,198.0,0.0,0.0,0.21762236897075046,1.0,1.0,114.0,896321.8099483254,0.0801644124378506,10.0,0.9999888434172602,0
24,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.824,0.824,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.2102931382015197,1.0,1.0,114.0,6.2295748217506866,0.17798785205001952,3.0,0.6749579414069962,0
25,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.748,0.748,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.21589313820151973,1.0,1.0,114.0,201099.49819647468,0.08433363248125557,10.0,0.9999502758443053,0
26,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.824,0.824,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.2165331382015197,1.0,1.0,114.0,350468.71349837363,0.08403120665296844,10.0,0.9999714675967045,0
27,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.775,0.775,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.21477313820151972,1.0,1.0,114.0,32039.0002636858,0.10783165891466631,7.0,0.9997815640035449,0
28,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.808,0.808,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.2117331382015197,1.0,1.0,114.0,7.4809158963086,0.15206830732191398,4.0,0.6515957406075852,0
29,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.79,0.79,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.21621313820151972,1.0,1.0,114.0,861.9771175828225,0.10907264160856127,7.0,0.9919445519814475,0
30,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.729,0.729,0.0,0.0,0.0,0.0,48.0,198.0,0.0,0.0,0.2194685228169043,1.0,1.0,114.0,25298.000872917815,0.07664174304598483,11.0,0.9995653720170451,0
31,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.813,0.813,0.0,0.0,0.0,0.0,46.0,198.0,0.0,0.0,0.2110931382015197,1.0,1.0,114.0,22.339227823058767,0.17452521736764662,3.0,0.8816064948407784,0
32,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.806,0.806,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.21669313820151967,1.0,1.0,114.0,752.3571290101914,0.10960863612586579,7.0,0.9907816760617967,0
33,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.813,0.813,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.21525313820151967,1.0,1.0,114.0,87.6896601145769,0.13564731681778044,5.0,0.9460565504952837,0
34,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.786,0.786,0.0,0.0,0.0,0.0,49.0,198.0,0.0,0.0,0.22100698435536584,1.0,1.0,114.0,5360.423195971883,0.07770585596709535,11.0,0.9979521256101643,0
35,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.738,0.738,0.0,0.0,0.0,0.0,50.0,198.0,0.0,0.0,0.22601553136391284,1.0,1.0,114.0,67829.57928605049,0.06513280052588201,13.0,0.9998083799269307,0
36,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.743,0.743,0.0,0.0,0.0,0.0,48.0,198.0,0.0,0.0,0.219160830509212,1.0,1.0,114.0,4461.5649324338565,0.0874826373711445,9.0,0.9979868316116594,0
37,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.791,0.791,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.2146131382015197,1.0,1.0,114.0,35.771258071957966,0.13846938608499865,5.0,0.8773645887704665,0
38,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.821,0.821,0.0,0.0,0.0,0.0,45.0,198.0,0.0,0.0,0.209326471534853,1.0,1.0,114.0,121.40123167128469,0.1945532558834691,3.0,0.9758844831381803,0
39,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.752,0.752,0.0,0.0,0.0,0.0,48.0,198.0,0.0,0.0,0.21731467666305815,1.0,1.0,114.0,1747739.6648977776,0.08018286153187153,10.0,0.9999942783567917,0
40,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.739,0.739,0.0,0.0,0.0,0.0,51.0,198.0,0.0,0.0,0.22986738321576466,1.0,1.0,114.0,77.92463188613202,0.07111442806619878,12.0,0.8665549166195629,0
41,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.79,0.79,0.0,0.0,0.0,0.0,48.0,198.0,0.0,0.0,0.21900698435536584,1.0,1.0,114.0,110.19125107479692,0.09570790150447007,8.0,0.9323130948589653,0
42,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.757,0.757,0.0,0.0,0.0,0.0,49.0,198.0,0.0,0.0,0.2237762151245966,1.0,1.0,114.0,3435.398391072917,0.07266340508452408,12.0,0.9965191142308721,0
43,249.0,188.0,1.0,425.0,0.0,0.0,112.0,1.0,1.0,0.0,1.0,0.0,113.0,0.0,114.0,0.0,0.773,0.773,0.0,0.0,0.0,0.0,47.0,198.0,0.0,0.0,0.21493313820151969,1.0,1.0,114.0,5640.251644755002,0.10817881504201682,7.0,0.9987604589913217,0
