,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss,#Tasks before failure
0,249.0,0.0,49.0,1.0,0.0,0.0,0.0,61.0,45.0,0.0,0.0,0.0,106.0,0.0,106.0,24.0,0.647,0.607,0.0,0.0,9.0,15.0,86.0,33.0,117.0,123.0,0.33832375067605197,45.0,61.0,106.0,95594.8114131164,0.167330433812993,2.25,0.9999764637116796,0
1,249.0,0.0,49.0,1.0,0.0,0.0,0.0,45.0,48.0,0.0,0.0,0.0,93.0,0.0,93.0,43.0,0.655,0.578,0.0,0.0,21.0,22.0,85.0,26.0,82.0,86.0,0.2807399918799177,48.0,45.0,93.0,1123.359191294573,0.10961690603065014,1.5,0.9986664997613847,0
2,249.0,0.0,49.0,1.0,0.0,0.0,0.0,52.0,57.0,0.0,0.0,0.0,109.0,0.0,109.0,33.0,0.686,0.628,0.0,0.0,12.0,21.0,78.0,26.0,82.0,85.0,0.2638486047454057,57.0,52.0,109.0,256.2345120827303,0.18158071998111822,1.25,0.9951453390734493,0
3,249.0,0.0,49.0,1.0,0.0,0.0,0.0,47.0,52.0,0.0,0.0,0.0,99.0,0.0,99.0,43.0,0.653,0.58,0.0,0.0,19.0,24.0,86.0,27.0,111.0,116.0,0.3497307112703423,52.0,47.0,99.0,9078.133246825255,0.16533440855290094,1.5,0.9998347950892703,0
4,249.0,0.0,49.0,1.0,0.0,0.0,0.0,50.0,43.0,0.0,0.0,0.0,93.0,0.0,93.0,30.0,0.662,0.607,0.0,0.0,12.0,18.0,81.0,26.0,93.0,97.0,0.29110392194115414,43.0,50.0,93.0,1144007.1534635064,0.10973766396947672,3.0,0.9999973776456521,0
5,249.0,0.0,49.0,1.0,0.0,0.0,0.0,45.0,44.0,0.0,0.0,0.0,89.0,0.0,89.0,40.0,0.634,0.565,0.0,0.0,19.0,21.0,92.0,34.0,110.0,115.0,0.34827754119016313,44.0,45.0,89.0,22704083.253883384,0.16720410789545187,2.75,0.9999998788764278,0
6,249.0,0.0,49.0,1.0,0.0,0.0,0.0,38.0,33.0,0.0,0.0,0.0,71.0,0.0,71.0,49.0,0.642,0.552,0.0,0.0,23.0,26.0,97.0,40.0,114.0,33.0,0.3649884457111987,33.0,38.0,71.0,25903.167164628157,0.24363372990620474,2.25,0.9999131455793319,0
7,249.0,0.0,49.0,1.0,0.0,0.0,0.0,28.0,42.0,0.0,0.0,0.0,70.0,0.0,70.0,43.0,0.648,0.562,0.0,0.0,22.0,21.0,112.0,52.0,115.0,119.0,0.3925877835201738,42.0,28.0,70.0,3151499.160580328,0.2508998861631818,2.75,0.9999991274001799,0
8,249.0,0.0,49.0,1.0,0.0,0.0,0.0,49.0,62.0,0.0,0.0,0.0,111.0,0.0,111.0,30.0,0.717,0.651,0.0,0.0,11.0,19.0,69.0,43.0,67.0,29.0,0.22816449558628024,62.0,49.0,111.0,947442.4445246239,0.09052294227978541,5.5606060606060606,0.9999941309644113,0
9,249.0,0.0,49.0,1.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,94.0,0.0,94.0,37.0,0.665,0.592,0.0,0.0,14.0,23.0,83.0,29.0,111.0,116.0,0.3360911674765581,47.0,47.0,94.0,1291887.4225835744,0.18330692358996506,2.5,0.9999980648506066,0
10,249.0,0.0,49.0,1.0,0.0,0.0,0.0,37.0,43.0,0.0,0.0,0.0,80.0,0.0,80.0,44.0,0.628,0.555,0.0,0.0,16.0,28.0,100.0,40.0,108.0,34.0,0.36476180726540314,43.0,37.0,80.0,1106.6136724978676,0.11670965396315737,4.528689666109935,0.9959242939335962,0
11,249.0,0.0,49.0,1.0,0.0,0.0,0.0,41.0,33.0,0.0,0.0,0.0,74.0,0.0,74.0,50.0,0.635,0.547,0.0,0.0,21.0,29.0,87.0,31.0,109.0,115.0,0.3336534813843406,33.0,41.0,74.0,1181160824.3058493,0.2068790220031786,3.25,0.9999999972484696,0
12,249.0,0.0,49.0,1.0,0.0,0.0,0.0,47.0,43.0,0.0,0.0,0.0,90.0,0.0,90.0,44.0,0.66,0.584,0.0,0.0,20.0,24.0,87.0,34.0,88.0,30.0,0.2956821536222425,43.0,47.0,90.0,3291664.088021592,0.15899572658473218,3.2584745762711864,0.9999990100838775,0
13,249.0,0.0,49.0,1.0,0.0,0.0,0.0,56.0,55.0,0.0,0.0,0.0,111.0,0.0,111.0,28.0,0.707,0.656,0.0,0.0,11.0,17.0,82.0,32.0,92.0,95.0,0.3014905242081207,55.0,56.0,111.0,1005.4371650504079,0.17856581907877145,1.25,0.9987583034299068,0
