,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss,#Tasks before failure
0,249.0,0.0,49.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,72.0,2.0,0.708,0.701,2.0,0.0,0.0,0.0,109.0,25.0,106.0,39.0,0.4316846315846714,72.0,72.0,72.0,0.03997583261939731,0.04514484350211009,20.460303212780545,0.0019500140720458867,0
1,249.0,0.0,49.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,8.0,0.664,0.64,8.0,0.0,0.0,0.0,144.0,24.0,138.0,46.0,0.5690364506885438,62.0,62.0,62.0,8.401300735119703e-11,0.040992323313705344,24.213134496450493,3.469728686437576e-12,0
2,249.0,0.0,49.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,72.0,6.0,0.7,0.678,6.0,0.0,0.0,0.0,104.0,26.0,99.0,36.0,0.4106806745211821,72.0,72.0,72.0,2.0784479261011366e-07,0.04712358978967214,19.279485814414453,1.0780618963085697e-08,0
3,249.0,0.0,49.0,1.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,57.0,8.0,0.664,0.638,8.0,0.0,0.0,0.0,183.0,24.0,177.0,62.0,0.723105592502975,57.0,57.0,57.0,6.411267084520397e-12,0.043332203182995875,21.63815952637703,2.9629447350654424e-13,0
4,249.0,0.0,49.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0,5.0,0.692,0.674,5.0,0.0,0.0,0.0,143.0,24.0,138.0,46.0,0.5679479539729397,70.0,70.0,70.0,1.7833123681463306e-12,0.04559463157339119,20.206266308409887,8.825541250062388e-14,0
5,249.0,0.0,49.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0,7.0,0.677,0.655,7.0,0.0,0.0,0.0,129.0,25.0,124.0,36.0,0.5097676212726189,70.0,70.0,70.0,1.0876924696937525e-09,0.042350337626086434,23.039904305919258,4.720907062808247e-11,0
6,249.0,0.0,49.0,1.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,69.0,4.0,0.702,0.69,4.0,0.0,0.0,0.0,114.0,25.0,110.0,36.0,0.4496665495727449,69.0,69.0,69.0,0.07710719614398523,0.04758014089228371,20.052020251584157,0.003830627847343074,0
7,249.0,0.0,49.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0,2.0,0.711,0.705,2.0,0.0,0.0,0.0,113.0,39.0,110.0,41.0,0.44655927282971813,75.0,75.0,75.0,1.2657346783279669e-08,0.05147614846204094,17.35302706452681,7.294028141016163e-10,0
8,249.0,0.0,49.0,1.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,67.0,9.0,0.671,0.646,9.0,0.0,0.0,0.0,124.0,42.0,119.0,40.0,0.48987262409019333,67.0,67.0,67.0,8.226923731484431e-06,0.043798207797698996,22.189678220828174,3.7075439307606447e-07,0
9,249.0,0.0,49.0,1.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,68.0,8.0,0.666,0.643,8.0,0.0,0.0,0.0,148.0,29.0,143.0,46.0,0.5854057499322273,68.0,68.0,68.0,4.705465960533925e-06,0.035489144513200045,27.279397577374517,1.7249153451920744e-07,0
10,249.0,0.0,49.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,72.0,8.0,0.69,0.667,8.0,0.0,0.0,0.0,111.0,24.0,106.0,38.0,0.4395347215360733,72.0,72.0,72.0,4.994078682490502e-11,0.042376146205001824,21.017137543694396,2.3761935573272053e-12,0
11,249.0,0.0,49.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,72.0,3.0,0.675,0.667,3.0,0.0,0.0,0.0,116.0,26.0,112.0,40.0,0.4605203592141519,72.0,72.0,72.0,7.057626362466821e-05,0.03937632099156295,24.94178757442701,2.8296313449571106e-06,0
12,249.0,0.0,49.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,63.0,5.0,0.652,0.636,5.0,0.0,0.0,0.0,146.0,36.0,141.0,46.0,0.5785035498671575,63.0,63.0,63.0,5.157568923164526e-10,0.037622068186665435,25.849169065353696,1.9952552091797958e-11,0
13,249.0,0.0,49.0,1.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,1.0,0.694,0.692,1.0,0.0,0.0,0.0,99.0,31.0,95.0,36.0,0.3901063500789214,80.0,80.0,80.0,0.11217326969197235,0.03410037901152068,28.547550002252038,0.003913969043859632,0
14,249.0,0.0,49.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,73.0,3.0,0.686,0.675,3.0,0.0,0.0,0.0,109.0,29.0,105.0,35.0,0.4327284643049741,73.0,73.0,73.0,3.165141992145862e-08,0.039494029083964946,23.661346758533693,1.3376846297941011e-09,0
