,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss,#Tasks before failure
0,249.0,0.0,49.0,1.0,0.0,89.0,34.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,123.0,9.0,0.687,0.671,7.0,2.0,0.0,0.0,82.0,29.0,162.0,166.0,0.5183502338064331,89.0,89.0,123.0,3.1779646004204553e-45,0.028167128798833218,34.33948692152917,9.254548874543689e-47,0
1,249.0,0.0,49.0,1.0,0.0,93.0,35.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,8.0,0.688,0.675,7.0,1.0,0.0,0.0,66.0,26.0,124.0,126.0,0.408195780143497,93.0,93.0,128.0,2.7018784900430267e-52,0.0293624084784523,32.279646697388635,8.370223241202959e-54,0
2,249.0,0.0,49.0,1.0,0.0,95.0,32.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,127.0,7.0,0.662,0.651,7.0,0.0,0.0,0.0,85.0,26.0,134.0,138.0,0.4697617739055018,95.0,95.0,127.0,2.017662151656431e-60,0.024588395271032973,37.78333333333333,5.340085094811904e-62,0
3,249.0,0.0,49.0,1.0,0.0,99.0,35.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,134.0,7.0,0.688,0.676,4.0,3.0,0.0,0.0,68.0,40.0,84.0,88.0,0.2970710964414415,99.0,99.0,134.0,1.4887859264191392e-40,0.026270304106366726,36.787499999999994,4.046988586936159e-42,0
4,249.0,0.0,49.0,1.0,0.0,101.0,29.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,130.0,6.0,0.683,0.672,4.0,2.0,0.0,0.0,78.0,27.0,118.0,122.0,0.41921431616278393,101.0,101.0,130.0,1.6140235022604443e-53,0.02409170830240979,40.10043708304577,4.024952393705564e-55,0
5,249.0,0.0,49.0,1.0,0.0,82.0,36.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,118.0,4.0,0.684,0.676,4.0,0.0,0.0,0.0,92.0,28.0,170.0,176.0,0.5622834278165308,82.0,82.0,118.0,2.3636930838379876e-50,0.026267984717560023,37.49401154401154,6.304188286343853e-52,0
6,249.0,0.0,49.0,1.0,0.0,98.0,25.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,123.0,13.0,0.684,0.662,9.0,4.0,0.0,0.0,102.0,30.0,142.0,146.0,0.5114882262962986,98.0,98.0,123.0,9.766324686747495e-53,0.026451527064069964,36.36551463068591,2.685600571291376e-54,0
7,249.0,0.0,49.0,1.0,0.0,92.0,28.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,10.0,0.681,0.663,5.0,5.0,0.0,0.0,105.0,29.0,143.0,148.0,0.5149409057598909,92.0,92.0,120.0,2.6335242212434353e-44,0.028309626153708287,34.31333278057069,7.674929853315272e-46,0
8,249.0,24.0,5.0,93.0,0.0,75.0,15.0,0.0,0.0,3.0,4.0,0.0,15.0,68.0,90.0,12.0,0.653,0.63,9.0,3.0,0.0,0.0,118.0,35.0,0.0,0.0,0.8638706337807641,75.0,75.0,90.0,3.729037987712124e-80,0.0264280198460626,37.79562412294281,9.866322026016002e-82,0
9,249.0,0.0,49.0,1.0,0.0,88.0,32.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,12.0,0.681,0.659,10.0,2.0,0.0,0.0,73.0,26.0,120.0,124.0,0.4078374113440936,88.0,88.0,120.0,7.21027643804919e-46,0.02516837548097454,38.60213963963964,1.8678437271505866e-47,0
10,249.0,0.0,49.0,1.0,0.0,96.0,28.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,11.0,0.678,0.656,8.0,3.0,0.0,0.0,67.0,26.0,104.0,106.0,0.3529725742813461,96.0,96.0,124.0,2.9869670504665486e-43,0.02540647303491779,37.42945540454121,7.980257842875663e-45,0
11,249.0,0.0,49.0,1.0,0.0,92.0,32.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,7.0,0.687,0.673,6.0,1.0,0.0,0.0,76.0,26.0,130.0,134.0,0.44212265014977614,92.0,92.0,124.0,1.302847685642938e-43,0.026863941777378737,35.778956228956226,3.641379802434068e-45,0
12,249.0,0.0,49.0,1.0,0.0,89.0,36.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,8.0,0.671,0.658,7.0,1.0,0.0,0.0,72.0,25.0,152.0,158.0,0.478334578715931,89.0,89.0,125.0,3.325541995226674e-48,0.02883233537088743,33.16989547038328,1.0025783765872829e-49,0
13,249.0,0.0,49.0,1.0,0.0,84.0,32.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,15.0,0.658,0.635,15.0,0.0,0.0,0.0,93.0,31.0,163.0,170.0,0.5644288433872763,84.0,84.0,116.0,5.1090548583152375e-54,0.02532019225106982,39.045760457842015,1.3084787691179739e-55,0
14,249.0,0.0,49.0,1.0,0.0,92.0,33.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,8.0,0.681,0.667,5.0,3.0,0.0,0.0,98.0,26.0,146.0,152.0,0.5183093678522267,92.0,92.0,125.0,7.40315563044876e-52,0.026257547514113116,34.97826086956522,2.1165019204514793e-53,0
15,249.0,0.0,49.0,1.0,0.0,97.0,38.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,135.0,5.0,0.681,0.673,5.0,0.0,0.0,0.0,62.0,25.0,102.0,106.0,0.3360656134866851,97.0,97.0,135.0,3.4355302786457454e-37,0.023976483349499953,41.0,8.379342143038403e-39,0
16,249.0,0.0,49.0,1.0,0.0,93.0,26.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,119.0,16.0,0.678,0.652,13.0,3.0,0.0,0.0,112.0,36.0,148.0,154.0,0.5396913106171691,93.0,93.0,119.0,1.4590352569247653e-49,0.02354101071026311,41.98507462686567,3.4751284114454063e-51,0
17,249.0,0.0,49.0,1.0,0.0,90.0,25.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,115.0,14.0,0.668,0.644,9.0,5.0,0.0,0.0,93.0,26.0,142.0,146.0,0.5051171258263759,90.0,90.0,115.0,5.505212939050943e-54,0.025080183564125107,38.53123938879457,1.4287661197454078e-55,0
18,249.0,0.0,49.0,1.0,0.0,97.0,27.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,10.0,0.679,0.662,10.0,0.0,0.0,0.0,81.0,34.0,94.0,98.0,0.3442689331366845,97.0,97.0,124.0,3.0163259597933577e-46,0.02299379550578953,40.38636363636364,7.468674295492838e-48,0
19,249.0,0.0,49.0,1.0,0.0,93.0,33.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,126.0,6.0,0.687,0.676,5.0,1.0,0.0,0.0,70.0,28.0,98.0,102.0,0.33640577055855647,93.0,93.0,126.0,1.8476360150970962e-37,0.023844757710805325,40.47951127819548,4.564373325555281e-39,0
20,249.0,0.0,49.0,1.0,0.0,96.0,29.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,10.0,0.663,0.648,9.0,1.0,0.0,0.0,76.0,39.0,136.0,140.0,0.4585412742055622,96.0,96.0,125.0,4.247943685566183e-52,0.02566626525947689,37.85929951690821,1.1220344115635376e-53,0
21,249.0,0.0,49.0,1.0,0.0,101.0,33.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,134.0,8.0,0.687,0.674,6.0,2.0,0.0,0.0,90.0,26.0,122.0,126.0,0.4321039179763674,101.0,101.0,134.0,1.49236194577598e-42,0.02748038296176452,34.13791208791208,4.3715677219299295e-44,0
22,249.0,0.0,49.0,1.0,0.0,97.0,36.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,133.0,2.0,0.678,0.674,2.0,0.0,0.0,0.0,78.0,27.0,124.0,128.0,0.4234975523738645,97.0,97.0,133.0,7.751815378137463e-45,0.031412914634295824,29.912421716063662,2.5915037744919726e-46,0
23,249.0,0.0,49.0,1.0,0.0,92.0,31.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,123.0,13.0,0.663,0.643,11.0,2.0,0.0,0.0,75.0,36.0,132.0,136.0,0.44583641666850676,92.0,92.0,123.0,9.24266332069946e-49,0.02449802585077905,39.01140350877193,2.369220917320033e-50,0
24,249.0,0.0,49.0,1.0,0.0,101.0,26.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,127.0,10.0,0.687,0.67,7.0,3.0,0.0,0.0,87.0,30.0,126.0,130.0,0.4472175312976468,101.0,101.0,127.0,4.16950576424009e-58,0.023821249496168543,40.79169360051713,1.022145784157202e-59,0
