,Config,Confidence %,Aoss(Mu),Aoss(ME),Range,MC Iterations
0,CHO,80,0.9532,0.0003,"[0.9529, 0.9535]",500
1,DHO,80,0.03,0.0004,"[0.0296, 0.0304]",500
2,HHO,80,0.0,0.0,"[0.0, 0.0]",500
3,CHE,80,0.945,0.0003,"[0.9447, 0.9453]",500
4,DHE,80,0.9823,0.0003,"[0.982, 0.9826]",500
5,HHE,80,1.0,0.0,"[1.0, 1.0]",500
6,CHO,85,0.9532,0.0003,"[0.9529, 0.9535]",500
7,DHO,85,0.03,0.0004,"[0.0296, 0.0304]",500
8,HHO,85,0.0,0.0,"[0.0, 0.0]",500
9,CHE,85,0.945,0.0003,"[0.9447, 0.9453]",500
10,DHE,85,0.9823,0.0003,"[0.982, 0.9826]",500
11,HHE,85,1.0,0.0,"[1.0, 1.0]",500
12,CHO,90,0.9532,0.0003,"[0.9529, 0.9535]",500
13,DHO,90,0.03,0.0005,"[0.0295, 0.0305]",500
14,HHO,90,0.0,0.0,"[0.0, 0.0]",500
15,CHE,90,0.945,0.0004,"[0.9446, 0.9454]",500
16,DHE,90,0.9823,0.0004,"[0.9819, 0.9827]",500
17,HHE,90,1.0,0.0,"[1.0, 1.0]",500
18,CHO,95,0.9532,0.0004,"[0.9528, 0.9536]",500
19,DHO,95,0.03,0.0006,"[0.0294, 0.0306]",500
20,HHO,95,0.0,0.0,"[0.0, 0.0]",500
21,CHE,95,0.945,0.0004,"[0.9446, 0.9454]",500
22,DHE,95,0.9823,0.0004,"[0.9819, 0.9827]",500
23,HHE,95,1.0,0.0,"[1.0, 1.0]",500
