,Configuration,#Tasks before failure,RiskThreshold,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#Repair,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Average Risk,Print Capacity,Assembling Capacity,Collection Capacity,MTBF,MTTR,MDT,Aoss
0,CHO,2,0.5,19.0,293.0,86.0,95.0,455.0,1.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,7.0,0.0,0.872,0.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,44.22564102564103,0.15384615384615385,6.5,0.8718596775008847
1,CHO,3,0.5,19.0,292.0,84.0,104.0,446.0,1.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,8.0,0.0,0.904,0.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,648.0,0.14285714285714285,6.5,0.9900687547746372
2,CHO,5,0.5,19.0,292.0,84.0,111.0,439.0,1.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,8.0,0.0,0.913,0.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,24266.666666666664,0.13333333333333333,7.5,0.9996910295581722
3,CHO,10,0.5,19.0,291.0,82.0,117.0,433.0,1.0,8.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,9.0,0.0,0.851,0.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,654885.0000000001,0.125,7.5,0.999988547738751
4,CHO,2,0.5,49.0,283.0,66.0,330.0,220.0,1.0,16.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,17.0,0.0,0.902,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,20614.17622377623,0.06060606060606061,16.5,0.9992002201081037
5,CHO,3,0.5,49.0,281.0,62.0,398.0,152.0,1.0,18.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,19.0,0.0,0.864,0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,130700873.33333328,0.05555555555555555,17.5,0.9999998661064979
6,CHO,5,0.5,49.0,279.0,58.0,462.0,88.0,1.0,20.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,21.0,0.0,0.874,0.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,2029981078124.9985,0.05,19.5,0.999999999990394
7,CHO,10,0.5,49.0,278.0,56.0,529.0,21.0,1.0,22.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0,23.0,0.0,0.863,0.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23.0,3.4755658048540047e+18,0.045454545454545456,21.5,1.0
8,CHO,2,0.5,99.0,266.0,32.0,550.0,0.0,1.0,33.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,34.0,0.0,0.929,0.929,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.029411764705882353,1.0,1.0,34.0,1813504.000000001,0.045454545454545456,21.5,0.9999881446387161
9,CHO,3,0.5,99.0,262.0,24.0,550.0,0.0,1.0,37.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,38.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.02631578947368421,1.0,1.0,38.0,3180820723.8260875,0.043478260869565216,21.5,0.9999999932407383
